Category: CN
Cores: 10
Subjects: 51
Training set size: 50
Testing set size: 1
Lambda coefficient: 0.0
Matrix: CM
Binary matrix: no
Iterations per patient: 3000000
Folds: 51
Elapsed time for training (s): 1307.41
Total time (s): 1330.66
+---------------+-------------+------------------+-----------------+
| Avg MSE test  | SD MSE test | Avg Pearson test | SD Pearson test |
+---------------+-------------+------------------+-----------------+
|     0.0799    |     0.04    |      0.1607      |       0.16      |
+---------------+-------------+------------------+-----------------+
+------------------------------------------------------------+---------------+-------------------+
|                             ID                             | Avg MSE train | Avg Pearson train |
+------------------------------------------------------------+---------------+-------------------+
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0031/ |     0.0385    |       0.5226      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0074/ |     0.0936    |       0.2835      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0120/ |     0.1786    |       0.2426      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0337/ |     0.0396    |       0.2985      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0419/ |     0.0837    |      -0.0324      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0602/ |     0.0891    |       0.2899      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0610/ |     0.0316    |       0.3754      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0751/ |     0.1068    |       0.3476      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN1190/ |     0.0252    |       0.4363      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN1261/ |     0.1207    |       0.322       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN1280/ |     0.1116    |       0.0588      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4081/ |     0.1445    |       0.4905      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4084/ |     0.1309    |      -0.3007      |
