Category: CN
Cores: 10
Subjects: 51
Training set size: 50
Testing set size: 1
Lambda coefficient: 0.0
Matrix: CM
Binary matrix: yes
Iterations per patient: 3000000
Folds: 51
Elapsed time for training (s): 144.67
Total time (s): 168.57
+---------------+-------------+------------------+-----------------+
| Avg MSE test  | SD MSE test | Avg Pearson test | SD Pearson test |
+---------------+-------------+------------------+-----------------+
|     0.0298    |     0.02    |      0.4335      |       0.12      |
+---------------+-------------+------------------+-----------------+
+------------------------------------------------------------+---------------+-------------------+
|                             ID                             | Avg MSE train | Avg Pearson train |
+------------------------------------------------------------+---------------+-------------------+
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0031/ |     0.017     |       0.5496      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0074/ |     0.0494    |       0.4423      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0120/ |     0.0712    |       0.4232      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0337/ |     0.0218    |       0.4395      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0419/ |     0.0359    |       0.2601      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0602/ |     0.0481    |       0.3619      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0610/ |     0.0177    |       0.5817      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0751/ |     0.0457    |       0.5099      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN1190/ |     0.0163    |       0.4265      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN1261/ |     0.0548    |       0.4061      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN1280/ |     0.0466    |       0.3308      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4081/ |     0.0563    |       0.4521      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4084/ |     0.1268    |       -0.292      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4105/ |     0.0397    |       0.4186      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4119/ |     0.0307    |       0.2848      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4121/ |     0.0195    |       0.4142      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4164/ |     0.0107    |       0.2492      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4213/ |     0.058     |       0.3792      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4225/ |     0.0822    |       0.3184      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4276/ |     0.0182    |       0.4243      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4278/ |     0.0564    |       0.3897      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4288/ |     0.0602    |       0.3587      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4350/ |     0.0227    |       0.409       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4387/ |     0.0227    |       0.5393      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4388/ |     0.0396    |       0.3315      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4401/ |     0.0543    |       0.4889      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4441/ |     0.0186    |        0.45       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4448/ |     0.0056    |       0.4837      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4488/ |     0.0409    |       0.4211      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4516/ |     0.0176    |       0.5517      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4576/ |     0.0648    |       0.1709      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4620/ |     0.0357    |       0.3401      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4637/ |     0.0374    |       0.3883      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4643/ |     0.0357    |       0.5287      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4872/ |     0.0562    |       0.3374      |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4900/ |     0.0276    |       0.3618      |
